name,url,show
Naruto Uzumaki,https://naruto.fandom.com/wiki/Naruto_Uzumaki,Naruto
Sasuke Uchiha,https://naruto.fandom.com/wiki/Sasuke_Uchiha,Naruto
Kakashi Hatake,https://naruto.fandom.com/wiki/Kakashi_Hatake,Naruto
Might Guy,https://naruto.fandom.com/wiki/Might_Guy,Naruto
Obito Uchiha,https://naruto.fandom.com/wiki/Obito_Uchiha,Naruto
MInato Namikaze,https://naruto.fandom.com/wiki/Minato_Namikaze,Naruto
Madara Uchiha,https://naruto.fandom.com/wiki/Madara_Uchiha,Naruto
Tobirama Senju,https://naruto.fandom.com/wiki/Tobirama_Senju,Naruto
Hashirama Senju,https://naruto.fandom.com/wiki/Hashirama_Senju,Naruto
Kaguya Otsutsuki,https://naruto.fandom.com/wiki/Kaguya_%C5%8Ctsutsuki,Naruto
Yuji Itadori,https://jujutsu-kaisen.fandom.com/wiki/Yuji_Itadori,Jujutsu Kaisen
Sukuna,https://jujutsu-kaisen.fandom.com/wiki/Sukuna,Jujutsu Kaisen
Satoru Gojo,https://jujutsu-kaisen.fandom.com/wiki/Satoru_Gojo,Jujutsu Kaisen
Megumi Fushiguro,https://jujutsu-kaisen.fandom.com/wiki/Megumi_Fushiguro,Jujutsu Kaisen
Suguru Geto,https://jujutsu-kaisen.fandom.com/wiki/Suguru_Geto,Jujutsu Kaisen
Yuta Okkotsu,https://jujutsu-kaisen.fandom.com/wiki/Yuta_Okkotsu,Jujutsu Kaisen
Kento Nanami,https://jujutsu-kaisen.fandom.com/wiki/Kento_Nanami,Jujutsu Kaisen
Toji Fushiguro,https://jujutsu-kaisen.fandom.com/wiki/Toji_Fushiguro,Jujutsu Kaisen
Mahito,https://jujutsu-kaisen.fandom.com/wiki/Mahito,Jujutsu Kaisen
Nobara Kugisaki,https://jujutsu-kaisen.fandom.com/wiki/Nobara_Kugisaki,Jujutsu Kaisen
Monkey D. Luffy,https://onepiece.fandom.com/wiki/Monkey_D._Luffy,One Piece
Roronora Zoro,https://onepiece.fandom.com/wiki/Roronoa_Zoro,One Piece
Sanji Vnsmoke,https://onepiece.fandom.com/wiki/Sanji,One Piece
Trafalgar D. Law,https://onepiece.fandom.com/wiki/Trafalgar_D._Water_Law,One Piece
Shanks,https://onepiece.fandom.com/wiki/Shanks,One Piece
Big Mom,https://onepiece.fandom.com/wiki/Charlotte_Linlin,One Piece
Kaidou,https://onepiece.fandom.com/wiki/Kaidou,One Piece
Blackbeard,https://onepiece.fandom.com/wiki/Marshall_D._Teach,One Piece
Whitebeard,https://onepiece.fandom.com/wiki/Edward_Newgate,One Piece
Gold D. Roger,https://onepiece.fandom.com/wiki/Gol_D._Roger,One Piece
Saitama,https://onepunchman.fandom.com/wiki/Saitama,One Punch Man
Genos,https://onepunchman.fandom.com/wiki/Genos,One Punch Man
Garou,https://onepunchman.fandom.com/wiki/Garou,One Punch Man
Tatsumaki,https://onepunchman.fandom.com/wiki/Tatsumaki,One Punch Man
Bang,https://onepunchman.fandom.com/wiki/Bang,One Punch Man
Boros,https://onepunchman.fandom.com/wiki/Boros,One Punch Man
Metal Bat,https://onepunchman.fandom.com/wiki/Bad,One Punch Man
Elder Centipede,https://onepunchman.fandom.com/wiki/Elder_Centipede,One Punch Man
Vaccine Man,https://onepunchman.fandom.com/wiki/Vaccine_Man,One Punch Man
Deep Sea King,https://onepunchman.fandom.com/wiki/Deep_Sea_King,One Punch Man